image,attempt,bounds,check,fired,severity,values
002.webp,1,"[52, 131, 325, 227]",translation_sanity,False,none,"{'source_text': '买饭，带两盒烟。哎，去给我们', 'translation': 'Buy food, bring two packs of cigarettes. Hey, go give us', 'source_len': 14, 'translation_len': 56, 'ratio': 4.0}"
002.webp,1,"[52, 131, 325, 227]",detection_plausibility,False,none,"{'box_width': 273, 'box_height': 96, 'source_len': 14, 'confidence': None, 'chars_per_100px_height': 14.58}"
002.webp,1,"[52, 273, 277, 366]",text_fit,False,none,"{'box_width': 225, 'box_height': 93, 'chosen_font_size': 10, 'ceiling_font_size': 93, 'line_count': 1, 'lines': [""Why don't you just use your own money first?""], 'max_line_width': 205, 'total_text_height': 11, 'width_overflow_px': 0, 'height_overflow_px': 0, 'box_aspect_h_over_w': 0.41, 'hard_wrapped_single_word': False}"
002.webp,1,"[52, 273, 277, 366]",translation_sanity,False,none,"{'source_text': '你先用你的钱不会么？', 'translation': ""Why don't you just use your own money first?"", 'source_len': 10, 'translation_len': 44, 'ratio': 4.4}"
002.webp,1,"[52, 273, 277, 366]",detection_plausibility,False,none,"{'box_width': 225, 'box_height': 93, 'source_len': 10, 'confidence': None, 'chars_per_100px_height': 10.75}"
003.webp,1,"[1044, 210, 1188, 321]",text_fit,False,none,"{'box_width': 144, 'box_height': 111, 'chosen_font_size': 10, 'ceiling_font_size': 111, 'line_count': 1, 'lines': ['swish!'], 'max_line_width': 30, 'total_text_height': 8, 'width_overflow_px': 0, 'height_overflow_px': 0, 'box_aspect_h_over_w': 0.77, 'hard_wrapped_single_word': False}"
003.webp,1,"[1044, 210, 1188, 321]",translation_sanity,False,none,"{'source_text': '涮', 'translation': 'swish!', 'source_len': 1, 'translation_len': 6, 'ratio': 6.0}"
003.webp,1,"[1044, 210, 1188, 321]",detection_plausibility,False,none,"{'box_width': 144, 'box_height': 111, 'source_len': 1, 'confidence': None, 'chars_per_100px_height': 0.9}"
003.webp,1,"[890, 1409, 1068, 1522]",text_fit,False,none,"{'box_width': 178, 'box_height': 113, 'chosen_font_size': 10, 'ceiling_font_size': 113, 'line_count': 3, 'lines': ['Oh, quit acting all bothered by the', 'smell—get out and stop causing', 'trouble.'], 'max_line_width': 157, 'total_text_height': 32, 'width_overflow_px': 0, 'height_overflow_px': 0, 'box_aspect_h_over_w': 0.63, 'hard_wrapped_single_word': False}"
003.webp,1,"[890, 1409, 1068, 1522]",translation_sanity,False,none,"{'source_text': '呀，犯贱似的嫌难闻滚出去来找茬。', 'translation': 'Oh, quit acting all bothered by the smell—get out and stop causing trouble.', 'source_len': 16, 'translation_len': 75, 'ratio': 4.69}"
003.webp,1,"[890, 1409, 1068, 1522]",detection_plausibility,False,none,"{'box_width': 178, 'box_height': 113, 'source_len': 16, 'confidence': None, 'chars_per_100px_height': 14.16}"
003.webp,1,"[696, 1641, 1065, 1755]",text_fit,False,none,"{'box_width': 369, 'box_height': 114, 'chosen_font_size': 10, 'ceiling_font_size': 114, 'line_count': 1, 'lines': ['The room reeks of cheap perfume, smoke, fake leather, and sweaty feet.'], 'max_line_width': 327, 'total_text_height': 11, 'width_overflow_px': 0, 'height_overflow_px': 0, 'box_aspect_h_over_w': 0.31, 'hard_wrapped_single_word': False}"
003.webp,1,"[696, 1641, 1065, 1755]",translation_sanity,False,none,"{'source_text': '劣质香水、烟臭、人造皮革和脚汗混合起来的味道弥漫着整个房间....', 'translation': 'The room reeks of cheap perfume, smoke, fake leather, and sweaty feet.', 'source_len': 33, 'translation_len': 70, 'ratio': 2.12}"
003.webp,1,"[696, 1641, 1065, 1755]",detection_plausibility,True,low,"{'box_width': 369, 'box_height': 114, 'source_len': 33, 'confidence': None, 'chars_per_100px_height': 28.95}"
003.webp,1,"[674, 1027, 852, 1137]",text_fit,False,none,"{'box_width': 178, 'box_height': 110, 'chosen_font_size': 10, 'ceiling_font_size': 110, 'line_count': 2, 'lines': [""We're not gonna lose many points, we"", 'were just messing around~'], 'max_line_width': 172, 'total_text_height': 22, 'width_overflow_px': 0, 'height_overflow_px': 0, 'box_aspect_h_over_w': 0.62, 'hard_wrapped_single_word': False}"
003.webp,1,"[674, 1027, 852, 1137]",translation_sanity,False,none,"{'source_text': '没几分能扣了哈？咱本来就随便~', 'translation': ""We're not gonna lose many points, we were just messing around~"", 'source_len': 15, 'translation_len': 62, 'ratio': 4.13}"
003.webp,1,"[674, 1027, 852, 1137]",detection_plausibility,False,none,"{'box_width': 178, 'box_height': 110, 'source_len': 15, 'confidence': None, 'chars_per_100px_height': 13.64}"
003.webp,1,"[647, 802, 864, 913]",text_fit,False,none,"{'box_width': 217, 'box_height': 111, 'chosen_font_size': 10, 'ceiling_font_size': 111, 'line_count': 2, 'lines': ['Get out now! You two are getting a demerit!!', 'This taste…'], 'max_line_width': 201, 'total_text_height': 20, 'width_overflow_px': 0, 'height_overflow_px': 0, 'box_aspect_h_over_w': 0.51, 'hard_wrapped_single_word': False}"
003.webp,1,"[647, 802, 864, 913]",translation_sanity,False,none,"{'source_text': '立刻给我出去！你俩记过一次！！这个味....', 'translation': 'Get out now! You two are getting a demerit!! This taste…', 'source_len': 22, 'translation_len': 56, 'ratio': 2.55}"
003.webp,1,"[647, 802, 864, 913]",detection_plausibility,False,none,"{'box_width': 217, 'box_height': 111, 'source_len': 22, 'confidence': None, 'chars_per_100px_height': 19.82}"
003.webp,1,"[405, 1562, 608, 1709]",text_fit,False,none,"{'box_width': 203, 'box_height': 147, 'chosen_font_size': 10, 'ceiling_font_size': 147, 'line_count': 2, 'lines': [""You can't even smoke in the locker"", 'room—others need it between classes!'], 'max_line_width': 172, 'total_text_height': 18, 'width_overflow_px': 0, 'height_overflow_px': 0, 'box_aspect_h_over_w': 0.72, 'hard_wrapped_single_word': False}"
003.webp,1,"[405, 1562, 608, 1709]",translation_sanity,False,none,"{'source_text': '也不能用更衣室来抽烟！别人就算是课间还要用呢！', 'translation': ""You can't even smoke in the locker room—others need it between classes!"", 'source_len': 23, 'translation_len': 71, 'ratio': 3.09}"
003.webp,1,"[405, 1562, 608, 1709]",detection_plausibility,False,none,"{'box_width': 203, 'box_height': 147, 'source_len': 23, 'confidence': None, 'chars_per_100px_height': 15.65}"
003.webp,1,"[262, 637, 495, 785]",text_fit,False,none,"{'box_width': 233, 'box_height': 148, 'chosen_font_size': 10, 'ceiling_font_size': 148, 'line_count': 2, 'lines': ['[REDACTED 2026-09-14 -- explicit/suggestive dialogue, non-fired row, content not needed for any documented finding]'], 'max_line_width': 197, 'total_text_height': 21, 'width_overflow_px': 0, 'height_overflow_px': 0, 'box_aspect_h_over_w': 0.64, 'hard_wrapped_single_word': False}"
003.webp,1,"[262, 637, 495, 785]",translation_sanity,False,none,"{'source_text': '[REDACTED 2026-09-14 -- explicit/suggestive dialogue, non-fired row, content not needed for any documented finding]', 'translation': '[REDACTED 2026-09-14 -- explicit/suggestive dialogue, non-fired row, content not needed for any documented finding]', 'source_len': 20, 'translation_len': 62, 'ratio': 3.1}"
003.webp,1,"[262, 637, 495, 785]",detection_plausibility,False,none,"{'box_width': 233, 'box_height': 148, 'source_len': 20, 'confidence': None, 'chars_per_100px_height': 13.51}"
003.webp,1,"[212, 829, 362, 906]",text_fit,False,none,"{'box_width': 150, 'box_height': 77, 'chosen_font_size': 10, 'ceiling_font_size': 77, 'line_count': 2, 'lines': ['Hold on… damn… I can’t even', 'chill.'], 'max_line_width': 132, 'total_text_height': 18, 'width_overflow_px': 0, 'height_overflow_px': 0, 'box_aspect_h_over_w': 0.51, 'hard_wrapped_single_word': False}"
003.webp,1,"[212, 829, 362, 906]",translation_sanity,False,none,"{'source_text': '一会…….操..都没法消停', 'translation': 'Hold on… damn… I can’t even chill.', 'source_len': 13, 'translation_len': 34, 'ratio': 2.62}"
003.webp,1,"[212, 829, 362, 906]",detection_plausibility,False,none,"{'box_width': 150, 'box_height': 77, 'source_len': 13, 'confidence': None, 'chars_per_100px_height': 16.88}"
003.webp,1,"[42, 138, 314, 281]",text_fit,False,none,"{'box_width': 272, 'box_height': 143, 'chosen_font_size': 10, 'ceiling_font_size': 143, 'line_count': 1, 'lines': ['Hey! You two! Sneaking off to smoke again!'], 'max_line_width': 197, 'total_text_height': 11, 'width_overflow_px': 0, 'height_overflow_px': 0, 'box_aspect_h_over_w': 0.53, 'hard_wrapped_single_word': False}"
003.webp,1,"[42, 138, 314, 281]",translation_sanity,False,none,"{'source_text': '喂！你们两个！！又躲在这里抽烟！', 'translation': 'Hey! You two! Sneaking off to smoke again!', 'source_len': 16, 'translation_len': 42, 'ratio': 2.62}"
003.webp,1,"[42, 138, 314, 281]",detection_plausibility,False,none,"{'box_width': 272, 'box_height': 143, 'source_len': 16, 'confidence': None, 'chars_per_100px_height': 11.19}"
005.webp,1,"[565, 843, 792, 989]",text_fit,False,none,"{'box_width': 227, 'box_height': 146, 'chosen_font_size': 10, 'ceiling_font_size': 146, 'line_count': 2, 'lines': ['Just a tiny bite, like a puppy begging—look at us~', 'haha~ yeah, exactly, like that.'], 'max_line_width': 223, 'total_text_height': 22, 'width_overflow_px': 0, 'height_overflow_px': 0, 'box_aspect_h_over_w': 0.64, 'hard_wrapped_single_word': False}"
005.webp,1,"[565, 843, 792, 989]",translation_sanity,False,none,"{'source_text': '像小狗一样祈求的一点点的吃进去看着咱~哈哈~对~没错，这样', 'translation': 'Just a tiny bite, like a puppy begging—look at us~ haha~ yeah, exactly, like that.', 'source_len': 29, 'translation_len': 82, 'ratio': 2.83}"
005.webp,1,"[565, 843, 792, 989]",detection_plausibility,False,none,"{'box_width': 227, 'box_height': 146, 'source_len': 29, 'confidence': None, 'chars_per_100px_height': 19.86}"
005.webp,1,"[109, 1570, 286, 1753]",text_fit,False,none,"{'box_width': 177, 'box_height': 183, 'chosen_font_size': 10, 'ceiling_font_size': 177, 'line_count': 2, 'lines': [""Look, I'm not like her— you lash out at"", 'people all the time, it hurts!'], 'max_line_width': 167, 'total_text_height': 22, 'width_overflow_px': 0, 'height_overflow_px': 0, 'box_aspect_h_over_w': 1.03, 'hard_wrapped_single_word': False}"
005.webp,1,"[109, 1570, 286, 1753]",translation_sanity,False,none,"{'source_text': '乖乖的咱就可你看咱是不是不跟她一样~动不动就打人疼你了~', 'translation': ""Look, I'm not like her— you lash out at people all the time, it hurts!"", 'source_len': 28, 'translation_len': 70, 'ratio': 2.5}"
005.webp,1,"[109, 1570, 286, 1753]",detection_plausibility,False,none,"{'box_width': 177, 'box_height': 183, 'source_len': 28, 'confidence': None, 'chars_per_100px_height': 15.3}"
005.webp,1,"[98, 147, 305, 298]",text_fit,False,none,"{'box_width': 207, 'box_height': 151, 'chosen_font_size': 10, 'ceiling_font_size': 151, 'line_count': 1, 'lines': [""That's just how it is—open up, big shot~""], 'max_line_width': 174, 'total_text_height': 10, 'width_overflow_px': 0, 'height_overflow_px': 0, 'box_aspect_h_over_w': 0.73, 'hard_wrapped_single_word': False}"
005.webp,1,"[98, 147, 305, 298]",translation_sanity,False,none,"{'source_text': '就是这样咯啊~张嘴~大委员~', 'translation': ""That's just how it is—open up, big shot~"", 'source_len': 14, 'translation_len': 40, 'ratio': 2.86}"
005.webp,1,"[98, 147, 305, 298]",detection_plausibility,False,none,"{'box_width': 207, 'box_height': 151, 'source_len': 14, 'confidence': None, 'chars_per_100px_height': 9.27}"
007.webp,1,"[837, 176, 958, 238]",text_fit,False,none,"{'box_width': 121, 'box_height': 62, 'chosen_font_size': 10, 'ceiling_font_size': 62, 'line_count': 1, 'lines': [""C'mon!""], 'max_line_width': 32, 'total_text_height': 8, 'width_overflow_px': 0, 'height_overflow_px': 0, 'box_aspect_h_over_w': 0.51, 'hard_wrapped_single_word': False}"
007.webp,1,"[837, 176, 958, 238]",translation_sanity,False,none,"{'source_text': '来吧~', 'translation': ""C'mon!"", 'source_len': 3, 'translation_len': 6, 'ratio': 2.0}"
007.webp,1,"[837, 176, 958, 238]",detection_plausibility,False,none,"{'box_width': 121, 'box_height': 62, 'source_len': 3, 'confidence': None, 'chars_per_100px_height': 4.84}"
007.webp,1,"[202, 1033, 456, 1198]",text_fit,False,none,"{'box_width': 254, 'box_height': 165, 'chosen_font_size': 10, 'ceiling_font_size': 165, 'line_count': 2, 'lines': ['Whoa, you grabbed a huge one to shove in your', ""mouth—take it off properly, it's a bargain! Hahaha.""], 'max_line_width': 222, 'total_text_height': 23, 'width_overflow_px': 0, 'height_overflow_px': 0, 'box_aspect_h_over_w': 0.65, 'hard_wrapped_single_word': False}"
007.webp,1,"[202, 1033, 456, 1198]",translation_sanity,False,none,"{'source_text': '2你这可是捡了个大塞嘴里对~好好脱下来~便宜~哈哈哈。', 'translation': ""Whoa, you grabbed a huge one to shove in your mouth—take it off properly, it's a bargain! Hahaha."", 'source_len': 27, 'translation_len': 97, 'ratio': 3.59}"
007.webp,1,"[202, 1033, 456, 1198]",detection_plausibility,False,none,"{'box_width': 254, 'box_height': 165, 'source_len': 27, 'confidence': None, 'chars_per_100px_height': 16.36}"
01.webp,1,"[908, 243, 977, 340]",text_fit,False,none,"{'box_width': 69, 'box_height': 97, 'chosen_font_size': 10, 'ceiling_font_size': 69, 'line_count': 1, 'lines': ['d00'], 'max_line_width': 18, 'total_text_height': 8, 'width_overflow_px': 0, 'height_overflow_px': 0, 'box_aspect_h_over_w': 1.41, 'hard_wrapped_single_word': False}"
01.webp,1,"[908, 243, 977, 340]",translation_sanity,True,high,"{'source_text': 'd00', 'translation': 'd00', 'source_len': 3, 'translation_len': 3}"
01.webp,1,"[908, 243, 977, 340]",detection_plausibility,False,none,"{'box_width': 69, 'box_height': 97, 'source_len': 3, 'confidence': None, 'chars_per_100px_height': 3.09}"
01.webp,1,"[862, 1118, 1216, 1773]",text_fit,False,none,"{'box_width': 354, 'box_height': 655, 'chosen_font_size': 10, 'ceiling_font_size': 354, 'line_count': 1, 'lines': ['[REDACTED 2026-09-14 -- explicit/suggestive dialogue, non-fired row, content not needed for any documented finding]'], 'max_line_width': 156, 'total_text_height': 10, 'width_overflow_px': 0, 'height_overflow_px': 0, 'box_aspect_h_over_w': 1.85, 'hard_wrapped_single_word': False}"
01.webp,1,"[862, 1118, 1216, 1773]",translation_sanity,False,none,"{'source_text': '[REDACTED 2026-09-14 -- explicit/suggestive dialogue, non-fired row, content not needed for any documented finding]', 'translation': '[REDACTED 2026-09-14 -- explicit/suggestive dialogue, non-fired row, content not needed for any documented finding]', 'source_len': 26, 'translation_len': 38, 'ratio': 1.46}"
01.webp,1,"[862, 1118, 1216, 1773]",detection_plausibility,False,none,"{'box_width': 354, 'box_height': 655, 'source_len': 26, 'confidence': None, 'chars_per_100px_height': 3.97}"
01.webp,1,"[445, 62, 608, 247]",text_fit,False,none,"{'box_width': 163, 'box_height': 185}"
01.webp,1,"[445, 62, 608, 247]",translation_sanity,False,none,"{'source_text': '', 'translation': '', 'source_len': 0, 'translation_len': 0}"
01.webp,1,"[445, 62, 608, 247]",detection_plausibility,False,none,"{'box_width': 163, 'box_height': 185, 'source_len': 0, 'confidence': None}"
02.webp,1,"[978, 1336, 1095, 1681]",text_fit,False,none,"{'box_width': 117, 'box_height': 345, 'chosen_font_size': 10, 'ceiling_font_size': 117, 'line_count': 1, 'lines': ['I get it…'], 'max_line_width': 34, 'total_text_height': 10, 'width_overflow_px': 0, 'height_overflow_px': 0, 'box_aspect_h_over_w': 2.95, 'hard_wrapped_single_word': False}"
02.webp,1,"[978, 1336, 1095, 1681]",translation_sanity,False,none,"{'source_text': '动私…', 'translation': 'I get it…', 'source_len': 3, 'translation_len': 9, 'ratio': 3.0}"
02.webp,1,"[978, 1336, 1095, 1681]",detection_plausibility,False,none,"{'box_width': 117, 'box_height': 345, 'source_len': 3, 'confidence': None, 'chars_per_100px_height': 0.87}"
02.webp,1,"[765, 744, 835, 895]",text_fit,False,none,"{'box_width': 70, 'box_height': 151, 'chosen_font_size': 10, 'ceiling_font_size': 70, 'line_count': 1, 'lines': ['Ah~ ♡'], 'max_line_width': 26, 'total_text_height': 8, 'width_overflow_px': 0, 'height_overflow_px': 0, 'box_aspect_h_over_w': 2.16, 'hard_wrapped_single_word': False}"
02.webp,1,"[765, 744, 835, 895]",translation_sanity,False,none,"{'source_text': '呼-♡', 'translation': 'Ah~ ♡', 'source_len': 3, 'translation_len': 5, 'ratio': 1.67}"
02.webp,1,"[765, 744, 835, 895]",detection_plausibility,False,none,"{'box_width': 70, 'box_height': 151, 'source_len': 3, 'confidence': None, 'chars_per_100px_height': 1.99}"
02.webp,1,"[740, 89, 1036, 882]",text_fit,False,none,"{'box_width': 296, 'box_height': 793, 'chosen_font_size': 10, 'ceiling_font_size': 296, 'line_count': 1, 'lines': ['Thanks to everyone for watching the adult content.'], 'max_line_width': 235, 'total_text_height': 11, 'width_overflow_px': 0, 'height_overflow_px': 0, 'box_aspect_h_over_w': 2.68, 'hard_wrapped_single_word': False}"
02.webp,1,"[740, 89, 1036, 882]",translation_sanity,False,none,"{'source_text': 'ea编38全房务司若美财乐キチー・0感谢各位会员刷成人话直目G', 'translation': 'Thanks to everyone for watching the adult content.', 'source_len': 31, 'translation_len': 50, 'ratio': 1.61}"
02.webp,1,"[740, 89, 1036, 882]",detection_plausibility,False,none,"{'box_width': 296, 'box_height': 793, 'source_len': 31, 'confidence': None, 'chars_per_100px_height': 3.91}"
02.webp,1,"[651, 931, 769, 1116]",text_fit,False,none,"{'box_width': 118, 'box_height': 185, 'chosen_font_size': 10, 'ceiling_font_size': 118, 'line_count': 1, 'lines': ['Oh...'], 'max_line_width': 20, 'total_text_height': 8, 'width_overflow_px': 0, 'height_overflow_px': 0, 'box_aspect_h_over_w': 1.57, 'hard_wrapped_single_word': False}"
02.webp,1,"[651, 931, 769, 1116]",translation_sanity,False,none,"{'source_text': '奥…', 'translation': 'Oh...', 'source_len': 2, 'translation_len': 5, 'ratio': 2.5}"
02.webp,1,"[651, 931, 769, 1116]",detection_plausibility,False,none,"{'box_width': 118, 'box_height': 185, 'source_len': 2, 'confidence': None, 'chars_per_100px_height': 1.08}"
02.webp,1,"[561, 57, 639, 207]",text_fit,False,none,"{'box_width': 78, 'box_height': 150, 'chosen_font_size': 10, 'ceiling_font_size': 78, 'line_count': 1, 'lines': ['3-Wu'], 'max_line_width': 26, 'total_text_height': 8, 'width_overflow_px': 0, 'height_overflow_px': 0, 'box_aspect_h_over_w': 1.92, 'hard_wrapped_single_word': False}"
02.webp,1,"[561, 57, 639, 207]",translation_sanity,False,none,"{'source_text': '3-呉', 'translation': '3-Wu', 'source_len': 3, 'translation_len': 4, 'ratio': 1.33}"
02.webp,1,"[561, 57, 639, 207]",detection_plausibility,False,none,"{'box_width': 78, 'box_height': 150, 'source_len': 3, 'confidence': None, 'chars_per_100px_height': 2.0}"
02.webp,1,"[520, 1251, 894, 1651]",text_fit,False,none,"{'box_width': 374, 'box_height': 400, 'chosen_font_size': 10, 'ceiling_font_size': 374, 'line_count': 2, 'lines': ['I put on the birthday gift you guys gave me—do you like it? This super‑high‑cut', 'catsuit and the restraints feel so exciting♪'], 'max_line_width': 361, 'total_text_height': 24, 'width_overflow_px': 0, 'height_overflow_px': 0, 'box_aspect_h_over_w': 1.07, 'hard_wrapped_single_word': False}"
02.webp,1,"[520, 1251, 894, 1651]",translation_sanity,False,none,"{'source_text': '今天我特意穿上了大家送给我的生日礼物觉得好看嘛？3高衩紧身连体衣和拘束道具感觉特别刺激♪', 'translation': 'I put on the birthday gift you guys gave me—do you like it? This super‑high‑cut catsuit and the restraints feel so exciting♪', 'source_len': 44, 'translation_len': 124, 'ratio': 2.82}"
02.webp,1,"[520, 1251, 894, 1651]",detection_plausibility,False,none,"{'box_width': 374, 'box_height': 400, 'source_len': 44, 'confidence': None, 'chars_per_100px_height': 11.0}"
02.webp,1,"[42, 1142, 187, 1398]",text_fit,False,none,"{'box_width': 145, 'box_height': 256, 'chosen_font_size': 10, 'ceiling_font_size': 145, 'line_count': 1, 'lines': ['Got it!'], 'max_line_width': 26, 'total_text_height': 8, 'width_overflow_px': 0, 'height_overflow_px': 0, 'box_aspect_h_over_w': 1.77, 'hard_wrapped_single_word': False}"
02.webp,1,"[42, 1142, 187, 1398]",translation_sanity,False,none,"{'source_text': '喻答', 'translation': 'Got it!', 'source_len': 2, 'translation_len': 7, 'ratio': 3.5}"
02.webp,1,"[42, 1142, 187, 1398]",detection_plausibility,False,none,"{'box_width': 145, 'box_height': 256, 'source_len': 2, 'confidence': None, 'chars_per_100px_height': 0.78}"
03.webp,1,"[1077, 185, 1200, 471]",text_fit,False,none,"{'box_width': 123, 'box_height': 286, 'chosen_font_size': 10, 'ceiling_font_size': 123, 'line_count': 4, 'lines': ['After this voice message', 'ends, I might not be able to', 'chat with you all for a', 'while…'], 'max_line_width': 123, 'total_text_height': 46, 'width_overflow_px': 0, 'height_overflow_px': 0, 'box_aspect_h_over_w': 2.33, 'hard_wrapped_single_word': False}"
03.webp,1,"[1077, 185, 1200, 471]",translation_sanity,False,none,"{'source_text': '这段语音结束后我可能有一段时间没法和大家互动了…', 'translation': 'After this voice message ends, I might not be able to chat with you all for a while…', 'source_len': 24, 'translation_len': 84, 'ratio': 3.5}"
03.webp,1,"[1077, 185, 1200, 471]",detection_plausibility,False,none,"{'box_width': 123, 'box_height': 286, 'source_len': 24, 'confidence': None, 'chars_per_100px_height': 8.39}"
03.webp,1,"[873, 1147, 890, 1176]",text_fit,False,none,"{'box_width': 17, 'box_height': 29}"
03.webp,1,"[873, 1147, 890, 1176]",translation_sanity,False,none,"{'source_text': '', 'translation': '', 'source_len': 0, 'translation_len': 0}"
03.webp,1,"[873, 1147, 890, 1176]",detection_plausibility,False,none,"{'box_width': 17, 'box_height': 29, 'source_len': 0, 'confidence': None}"
03.webp,1,"[465, 0, 996, 414]",text_fit,False,none,"{'box_width': 531, 'box_height': 414, 'chosen_font_size': 10, 'ceiling_font_size': 414, 'line_count': 1, 'lines': ['Ah… deep'], 'max_line_width': 45, 'total_text_height': 10, 'width_overflow_px': 0, 'height_overflow_px': 0, 'box_aspect_h_over_w': 0.78, 'hard_wrapped_single_word': False}"
03.webp,1,"[465, 0, 996, 414]",translation_sanity,False,none,"{'source_text': 'Aラ……奥', 'translation': 'Ah… deep', 'source_len': 5, 'translation_len': 8, 'ratio': 1.6}"
03.webp,1,"[465, 0, 996, 414]",detection_plausibility,False,none,"{'box_width': 531, 'box_height': 414, 'source_len': 5, 'confidence': None, 'chars_per_100px_height': 1.21}"
03.webp,1,"[51, 722, 722, 1540]",text_fit,False,none,"{'box_width': 671, 'box_height': 818, 'chosen_font_size': 10, 'ceiling_font_size': 671, 'line_count': 1, 'lines': ['[REDACTED 2026-09-14 -- explicit/suggestive dialogue, non-fired row, content not needed for any documented finding]'], 'max_line_width': 272, 'total_text_height': 10, 'width_overflow_px': 0, 'height_overflow_px': 0, 'box_aspect_h_over_w': 1.22, 'hard_wrapped_single_word': False}"
03.webp,1,"[51, 722, 722, 1540]",translation_sanity,False,none,"{'source_text': '[REDACTED 2026-09-14 -- explicit/suggestive dialogue, non-fired row, content not needed for any documented finding]', 'translation': '[REDACTED 2026-09-14 -- explicit/suggestive dialogue, non-fired row, content not needed for any documented finding]', 'source_len': 29, 'translation_len': 59, 'ratio': 2.03}"
03.webp,1,"[51, 722, 722, 1540]",detection_plausibility,False,none,"{'box_width': 671, 'box_height': 818, 'source_len': 29, 'confidence': None, 'chars_per_100px_height': 3.55}"
03.webp,1,"[0, 5, 207, 390]",text_fit,False,none,"{'box_width': 207, 'box_height': 385, 'chosen_font_size': 10, 'ceiling_font_size': 207, 'line_count': 1, 'lines': ['Oh'], 'max_line_width': 14, 'total_text_height': 8, 'width_overflow_px': 0, 'height_overflow_px': 0, 'box_aspect_h_over_w': 1.86, 'hard_wrapped_single_word': False}"
03.webp,1,"[0, 5, 207, 390]",translation_sanity,False,none,"{'source_text': '哦X', 'translation': 'Oh', 'source_len': 2, 'translation_len': 2, 'ratio': 1.0}"
03.webp,1,"[0, 5, 207, 390]",detection_plausibility,False,none,"{'box_width': 207, 'box_height': 385, 'source_len': 2, 'confidence': None, 'chars_per_100px_height': 0.52}"
04.webp,1,"[991, 677, 1183, 956]",text_fit,False,none,"{'box_width': 192, 'box_height': 279}"
04.webp,1,"[991, 677, 1183, 956]",translation_sanity,False,none,"{'source_text': '嗯喔噢噢噢咕噢噢～哦！V', 'translation': '', 'source_len': 12, 'translation_len': 0}"
04.webp,1,"[991, 677, 1183, 956]",detection_plausibility,False,none,"{'box_width': 192, 'box_height': 279, 'source_len': 12, 'confidence': None, 'chars_per_100px_height': 4.3}"
